Trial,Batch,Timestamp,DevicePosX,DevicePosY,DevicePosZ,DeviceVelX,DeviceVelY,DeviceVelZ,AssumedUserForceX,AssumedUserForceY,AssumedUserForceZ,CommandedForceX,CommandedForceY,CommandedForceZ,CursorPosX,CursorPosY,ClosestPathX,ClosestPathY,TrackingError,CrossError,Button,RandomForceActive
1,NoDrift_Batch2,2.021471499989275,-66.4604721069336,-62.98397445678711,-40.5222282409668,0.0,0.0,0.0,0,0,0,0,0,0,50,450,50.0,450.0,0.0,0.0,False,False
1,NoDrift_Batch2,2.031418400001712,-66.64192962646484,-63.28314971923828,-40.43035888671875,0.0,0.0,0.0,0,0,0,0,0,0,48,452,50.0,450.0,2.8284271247461903,2.8284271247461903,False,False
1,NoDrift_Batch2,2.0408055000007153,-66.70157623291016,-63.641475677490234,-40.31586837768555,0.0,0.0,0.0,0,0,0,0,0,0,47,455,50.0,450.0,5.830951894845301,5.830951894845301,False,False
1,NoDrift_Batch2,2.0517774999898393,-66.6805191040039,-64.15400695800781,-40.099002838134766,-7.780906277509345,-47.591676066804204,14.960013616357822,0,0,0,0,0,0,48,460,50.0,450.0,10.198039027185569,10.198039027185569,False,False
1,NoDrift_Batch2,2.0628473999968264,-66.46324920654297,-64.77001953125,-39.74262237548828,-9.215111673759795,-57.56452876725274,17.83611364313526,0,0,0,0,0,0,49,466,50.0,450.0,16.0312195418814,16.0312195418814,False,False
1,NoDrift_Batch2,2.073375300009502,-66.05960083007812,-65.3947525024414,-39.35547637939453,65.93759621905295,-56.0878466356778,-4.7186162588983125,0,0,0,0,0,0,53,471,50.0,450.0,21.213203435596427,21.0,False,False
1,NoDrift_Batch2,2.08295999999973,-65.7754898071289,-65.96131134033203,-38.99386978149414,-21.763774297813523,-141.8372362583023,42.797889978310096,0,0,0,0,0,0,56,476,61.0,450.0,26.476404589747453,26.0,False,False
1,NoDrift_Batch2,2.0936626000038814,-65.41112518310547,-66.536376953125,-38.65621566772461,-8.35467224233911,-55.63751219652207,16.557217086564762,0,0,0,0,0,0,59,481,61.0,450.0,31.064449134018133,31.0,False,False
1,NoDrift_Batch2,2.1045585999963805,-65.07108306884766,-67.08331298828125,-38.53485870361328,16.409421985824537,-58.94337240606537,-32.742944702519445,0,0,0,0,0,0,62,486,61.0,450.0,36.013886210738214,36.0,False,False
1,NoDrift_Batch2,2.114903999987291,-64.77362060546875,-67.54196166992188,-38.595970153808594,-7.829707842481628,-53.90972445452833,15.683262510879445,0,0,0,0,0,0,65,491,61.0,450.0,41.19465984809196,41.0,False,False
1,NoDrift_Batch2,2.1255057000089437,-64.43843841552734,-68.0435791015625,-39.001319885253906,16.398787653889848,-58.2741286330642,-32.9106703950479,0,0,0,0,0,0,68,495,72.0,450.0,45.17742799230607,45.0,False,False
1,NoDrift_Batch2,2.136410100007197,-64.1925048828125,-68.60120391845703,-39.494991302490234,25.947519465660967,-7.430051605722601,-52.088615663843534,0,0,0,0,0,0,70,500,72.0,450.0,50.039984012787215,50.0,False,False
1,NoDrift_Batch2,2.1469275999988895,-64.07522583007812,-69.14906311035156,-39.9949951171875,-52.52587485582451,-85.4492179588392,-87.64893387996416,0,0,0,0,0,0,71,505,72.0,450.0,55.00909015790027,55.0,False,False
1,NoDrift_Batch2,2.1576184000005014,-63.9421272277832,-69.79192352294922,-40.393314361572266,17.24181063958465,-59.37422975143937,-34.50690529083653,0,0,0,0,0,0,72,511,72.0,450.0,61.0,61.0,False,False
1,NoDrift_Batch2,2.168881199992029,-63.9536018371582,-70.36856842041016,-40.764198303222656,-35.7967943213349,-58.90494485994566,-61.10461850841061,0,0,0,0,0,0,72,516,72.0,450.0,66.0,66.0,False,False
1,NoDrift_Batch2,2.17969119999907,-64.01806640625,-70.80973815917969,-40.89734649658203,-7.175931703011581,-53.21564987141053,14.293427480102872,0,0,0,0,0,0,71,520,72.0,450.0,70.00714249274856,70.0,False,False
